time,ElementInt_c,_dt,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
14.5109375,23774720.025889,0.3796875,36,1,16384,4.8847329357644,-0.13752669411204,5.9158095089273e-11,-42098.807318694,-0.27505338822409,-42108.576784566
14.890625,24396800.025522,0.3796875,36,1,16384,5.1429207945414,-0.1451056912447,1.2874362687043e-10,-44330.713908526,-0.2902113824894,-44340.999750114
15.2703125,25018880.025419,0.3796875,36,1,16384,5.4064214375992,-0.15323455247149,-2.1156291996061e-10,-46620.269599987,-0.30646910494298,-46631.082442862
15.65,25640960.025391,0.3796875,36,1,16384,5.6696649603412,-0.1630279196238,-1.3914042140684e-10,-48967.491102136,-0.3260558392476,-48978.830432057
16.0296875,26263040.024943,0.3796875,36,1,16384,5.8975783109415,-0.18548639559511,8.3949347473578e-11,-51372.483632214,-0.37097279119021,-51384.278788836
16.409375,26885120.024856,0.3796875,36,1,16384,2.0555929496871,0.021007904505071,3.5027878631218,-53843.848110995,0.042015809010142,-53840.953721168
16.7890625,27507200.024713,0.3796875,36,1,16384,4.2314611302327,-0.071402590207411,0.78404836366813,-56361.045595323,-0.14280518041482,-56367.940420857
17.16875,28129280.024454,0.3796875,36,1,16384,4.550659083681,-0.15973769434696,0.94722514421837,-58938.596212607,-0.31947538869392,-58945.803080486
17.5484375,28751360.024275,0.3796875,36,1,16384,4.7833067358018,-0.18449847035716,1.0138262206523,-61574.168095857,-0.36899694071431,-61581.707056887
17.928125,29373440.024486,0.3796875,36,1,16384,5.0016369904677,-0.20147767380207,1.0609276640796,-64267.467471668,-0.40295534760414,-64275.34889032
18.3078125,29995520.024694,0.3796875,36,1,16384,5.2198083812655,-0.21461108035548,1.1061918452122,-67018.434200418,-0.42922216071095,-67026.66143349
18.6875,30617600.024561,0.3796875,36,1,16384,5.4411292359181,-0.22617773129479,1.1520885937344,-69827.055885758,-0.45235546258959,-69835.633967042
19.0671875,31239680.024525,0.3796875,36,1,16384,5.662269739081,-0.23746287106283,1.1996285529249,-72693.341508428,-0.47492574212566,-72702.2667908
19.446875,31861760.02455,0.3796875,36,1,16384,5.8896622318431,-0.24792352154224,1.2472323555847,-75617.273350637,-0.49584704308447,-75626.55821039
