time,ElementInt_c,_dt,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
0,0,0,36,0,0,0,0,0,0,0,0
0.05,819200.040645,0.05,36,1,16384,-1.7592236276066e-09,1.1366737708471e-09,3.1359930228723e-10,-50.000004966608,2.2733475416942e-09,-50.000004962462
0.075,1228800.0406298,0.025,36,1,16384,-1.016301330787e-07,-1.4113382468756e-07,6.4325081438483e-08,-112.5000076802,-2.8226764937512e-07,-112.50000734829
0.1125,1843200.0405976,0.0375,36,1,16384,1.0534072305716e-07,-8.3705672783128e-08,-1.8441277804795e-07,-253.12501101898,-1.6741134556626e-07,-253.12501159848
0.16875,2764800.0405715,0.05625,36,1,16384,0.0023135335860731,-4.1097619821681e-05,7.1573562940767e-08,-569.52432604277,-8.2195239643362e-05,-569.52895296679
0.225,3686400.0406296,0.05625,36,1,16384,-7.6637724268823e-08,4.5847032321387e-08,-4.1994736255486e-08,-1012.5000225906,9.1694064642774e-08,-1012.5000225213
0.28125,4608000.0406296,0.05625,36,1,16384,-3.1055877254159e-08,5.0010982226704e-08,-2.1081920383107e-08,-1582.0312780126,1.0002196445341e-07,-1582.0312779926
0.3375,5529600.0406338,0.05625,36,1,16384,7.5150743629915e-09,9.2596965912108e-08,-1.7026184842439e-07,-2278.1250336291,1.8519393182422e-07,-2278.1250339847
0.39375,6451200.0406372,0.05625,36,1,16384,-8.1533441178086e-08,4.5305318989912e-08,-6.5901517420157e-09,-3100.7812893161,9.0610637979825e-08,-3100.7812891662
0.45,7372800.0406411,0.05625,36,1,16384,-8.771439846187e-08,6.8255298189964e-08,-1.1347032999895e-08,-4050.0000449243,1.3651059637993e-07,-4050.0000447716
0.50625,8294400.0406525,0.05625,36,1,16384,-7.0661658047116e-08,6.264295711588e-08,-5.2512309407386e-08,-5125.7813005096,1.2528591423176e-07,-5125.7813004733
0.5625,9216000.0406756,0.05625,36,1,16384,-4.3804959146891e-07,2.7831534943305e-07,7.9514168089368e-08,-6328.1250570943,5.566306988661e-07,-6328.1250560592
0.61875,10137600.04068,0.05625,36,1,16384,-1.4231432223834e-07,2.7384255099854e-07,1.6570206541448e-07,-7657.0313117129,5.4768510199708e-07,-7657.0313110969
0.675,11059200.040684,0.05625,36,1,16384,-5.3526870618878e-08,4.3833466353906e-08,8.3613323741186e-08,-9112.5000671226,8.7666932707812e-08,-9112.5000668484
0.703125,11520000.040684,0.028125,36,1,16384,-8.5828972687109e-08,7.9316214004532e-08,-4.1334487843261e-08,-9887.6953826379,1.5863242800906e-07,-9887.6953825489
0.73125,11980800.040684,0.028125,36,1,16384,-1.281556101243e-07,9.0527582674143e-08,-1.47259672673e-07,-10694.531323164,1.8105516534829e-07,-10694.531323202
0.759375,12441600.040684,0.028125,36,1,16384,-1.4090968150431e-07,9.2486191916085e-08,-1.7854820322271e-07,-11533.007888526,1.8497238383217e-07,-11533.007888602
0.7875,12902400.040683,0.028125,36,1,16384,-9.9083313369509e-08,7.1246225288846e-08,-3.0670668771924e-07,-12403.125078822,1.4249245057769e-07,-12403.125079237
0.815625,13363200.040683,0.028125,36,1,16384,-1.0723118732311e-07,7.5047507506499e-08,-3.0210035330063e-07,-13304.882894135,1.50095015013e-07,-13304.882894524
0.84375,13824000.040683,0.028125,36,1,16384,-1.2598083242525e-07,3.8833813578995e-08,-2.6058631034053e-07,-14238.281334443,7.7667627157991e-08,-14238.281334712
0.871875,14284800.040683,0.028125,36,1,16384,-8.73141350633e-08,1.8044232319846e-08,-2.8543576112764e-07,-15203.320399646,3.6088464639691e-08,-15203.320400042
0.9,14745600.040684,0.028125,36,1,16384,-1.5423642444289e-07,8.6472889293298e-08,-2.0985440765686e-07,-16200.000090065,1.729457785866e-07,-16200.000090176
0.928125,15206400.040684,0.028125,36,1,16384,-1.4361362645087e-07,1.0641461111286e-07,-1.9792089915111e-07,-17228.320405316,2.1282922222572e-07,-17228.320405424
0.95625,15667200.040684,0.028125,36,1,16384,-1.3010738918962e-07,9.6967383639374e-08,-2.4694864998842e-07,-18288.281345618,1.9393476727875e-07,-18288.281345852
0.984375,16128000.040684,0.028125,36,1,16384,-2.3933923957059e-07,2.0165873337359e-07,-2.2520194834061e-07,-19379.882911217,4.0331746674718e-07,-19379.882911189
1.0125,16588800.040683,0.028125,36,1,16384,-1.871419117004e-07,8.6629022758006e-08,-3.3802579738876e-07,-20503.125101466,1.7325804551601e-07,-20503.125101767
1.040625,17049600.040683,0.028125,36,1,16384,-1.8447947054229e-07,7.2281758272443e-08,-3.7221747198823e-07,-21658.007916784,1.4456351654489e-07,-21658.007917159
1.06875,17510400.040682,0.028125,36,1,16384,-1.8589836949022e-07,6.9179645936746e-08,-3.8795231653761e-07,-22844.531357095,1.3835929187349e-07,-22844.531357499
1.096875,17971200.040681,0.028125,36,1,16384,-1.886794795845e-07,6.9051367634351e-08,-3.9957020505981e-07,-24062.695422406,1.381027352687e-07,-24062.695422828
1.125,18432000.04068,0.028125,36,1,16384,-1.9779505489335e-07,7.4508167100081e-08,-4.5339538756652e-07,-25312.500112779,1.4901633420016e-07,-25312.50011329
1.153125,18892800.04068,0.028125,36,1,16384,-1.8239645140558e-07,6.1443874511648e-08,-4.5814921329488e-07,-26593.945428029,1.228877490233e-07,-26593.945428581
1.18125,19353600.040679,0.028125,36,1,16384,-1.7984479231035e-07,5.8099832416217e-08,-4.6834958980296e-07,-27907.031368323,1.1619966483243e-07,-27907.0313689
1.209375,19814400.040679,0.028125,36,1,16384,-1.796319995311e-07,5.7231745454874e-08,-4.782298258717e-07,-29251.757933624,1.1446349090975e-07,-29251.757934221
1.2375,20275200.040679,0.028125,36,1,16384,-3.6177817371746e-08,7.6359755623272e-08,-1.3099298688032e-07,-30628.125123139,1.5271951124654e-07,-30628.125123329
1.2515625,20505600.040678,0.0140625,36,1,16384,-1.3295097877188e-07,4.9702981542714e-09,-2.4831811952519e-07,-31328.173953068,9.9405963085427e-09,-31328.173953299
1.265625,20736000.040678,0.0140625,36,1,16384,-7.2849551499308e-08,4.8009358970643e-08,-1.9457844917942e-07,-32036.132938605,9.6018717941285e-08,-32036.132938849
1.2796875,20966400.040678,0.0140625,36,1,16384,-6.8990931120593e-08,3.1745732399821e-08,-1.6903663809675e-07,-32752.002080589,6.3491464799642e-08,-32752.00208079
1.29375,21196800.040678,0.0140625,36,1,16384,-5.7394314195807e-08,2.3936044796625e-08,-1.6168984413834e-07,-33475.781378819,4.787208959325e-08,-33475.781379027
1.3078125,21427200.040677,0.0140625,36,1,16384,0.13875717927451,-0.0024547194370034,2.1793778379967e-07,-34207.054561246,-0.0049094388740068,-34207.332075169
1.31484375,21542400.040652,0.00703125,36,1,16384,-4.1172933528582e-07,4.0478612674887e-07,-1.6238268308707e-07,-34576.281870175,8.0957225349775e-07,-34576.281869677
1.321875,21657600.040652,0.00703125,36,1,16384,-2.1467711101137e-07,1.3171295088238e-07,-1.4971206753322e-09,-34947.07044434,2.6342590176477e-07,-34947.070443913
1.32890625,21772800.040652,0.00703125,36,1,16384,-1.0575040671433e-09,4.9038861093176e-08,-5.6656817326833e-08,-35319.836557733,9.8077722186353e-08,-35319.836557844
1.3359375,21888000.040665,0.00703125,36,1,16384,2.4288415972308,-0.015625489051149,7.3300043756941e-08,-35687.293685891,-0.031250978102298,-35692.151368939
1.339453125,21945600.040719,0.003515625,36,1,16384,1.3817174607991,-0.0010342039580459,-2.6429449906384e-08,-35878.548462247,-0.0020684079160918,-35881.311897221
1.3412109375,21974400.040861,0.0017578125,36,1,16384,0.32777333490909,5.9700141696553e-05,-1.999661681934e-07,-35975.952391384,0.00011940028339311,-35976.607938454
