time,ElementInt_c,_dt,dofs,elasticity_c11_aux,eta_precip_area,linear_its,nonlinear_its,precipitate_area,stress_s11_aux,total_F
0,0,0,0,0,0,0,0,0,0,0
0.2373046875,-6.2188429683641e-08,0.2373046875,79997,2.9999999999858,12565.43393056,43,9,0,0,12646.214913642
0.415283203125,-7.6295489703782e-08,0.177978515625,85545,2.9999999999825,12296.073691964,39,8,0,0,12335.010901842
0.59326171875,-8.1369729731939e-08,0.177978515625,91075,2.9999999999814,11977.214708423,34,7,0,0,12021.632143243
0.771240234375,-8.4501166952577e-08,0.177978515625,105578,2.9999999999807,11596.181182463,40,7,0,0,11679.86520706
0.94921875,-8.5669280114331e-08,0.177978515625,128534,2.9999999999804,11125.48738585,40,7,0,0,11255.208039751
1.127197265625,-8.4048659143576e-08,0.177978515625,131495,2.9999999999808,10545.075793005,42,8,0,0,10674.363838969
1.30517578125,0.0065954667345065,0.177978515625,133942,3.0000015095825,9886.3834978257,35,8,0,0,9954.0565490917
1.483154296875,0.25915334682499,0.177978515625,128950,3.0000593154938,9225.5672097342,32,8,0,0,9250.7185973275
1.6611328125,0.39970642863253,0.177978515625,125146,3.0000914855412,8616.076416005,26,8,0,0,8647.7492438683
1.839111328125,0.55220180595151,0.177978515625,111081,3.0001263889632,8062.6225038725,24,8,0,0,8112.6601201771
2.01708984375,0.50991511588324,0.177978515625,112832,3.0001167103079,7547.7929637083,24,8,0,0,7607.3948729201
2.195068359375,0.45654428712948,0.177978515625,106502,3.0001044946946,7053.8366739747,24,8,0,0,7114.1112639835
2.373046875,0.32170131072861,0.177978515625,92406,3.0000736315866,6571.5529803176,24,8,0,0,6628.8217894754
2.551025390625,0.3248697176757,0.177978515625,94008,3.0000743567774,6098.7338096723,23,8,0,0,6153.293927548
2.72900390625,0.31737988561378,0.177978515625,94689,3.0000726424909,5636.4728424575,24,8,0,0,5684.7177175987
2.906982421875,0.32902827191489,0.177978515625,95970,3.0000753085949,5189.9728152927,24,8,0,0,5228.7498912467
3.0849609375,0.36326866383931,0.177978515625,93313,3.0000831455987,4766.2170766,23,8,0,0,4798.9162760489
3.262939453125,0.47661082804065,0.177978515625,82322,3.0001090875613,4369.1573582386,24,8,0,0,4400.5139389455
3.44091796875,0.51710729121994,0.177978515625,83613,3.0001183564662,3996.9883521739,24,8,0,0,4030.0031958664
3.618896484375,0.4958435194662,0.177978515625,81667,3.0001134895751,3643.8763569931,24,8,0,0,3678.1931200978
3.796875,0.45779188925273,0.177978515625,80562,3.0001047802481,3303.9311265833,24,8,0,0,3339.2419718715
3.974853515625,0.45274049734097,0.177978515625,81205,3.0001036240762,2972.6906807694,24,8,0,0,3008.1961410523
4.15283203125,0.44830931636679,0.177978515625,80710,3.0001026098594,2648.7556107469,24,8,0,0,2679.1203223853
4.330810546875,0.44901704762067,0.177978515625,79185,3.0001027718462,2336.621191108,24,8,0,0,2354.3352541826
4.5087890625,0.43685092798229,0.177978515625,76890,3.0000999872424,2046.6404481228,24,8,0,0,2051.0909601162
4.686767578125,0.42586507726216,0.177978515625,78061,3.0000974727807,1788.2571919972,23,8,0,0,1788.3711223942
4.86474609375,0.482906973971,0.177978515625,73323,3.0001105286348,1562.1990216203,23,8,0,0,1567.2258057059
5.042724609375,0.47422572557551,0.177978515625,73475,3.0001085416547,1360.0596149843,24,8,0,0,1373.5542422924
5.220703125,0.47403529640169,0.177978515625,73663,3.0001084980689,1168.760733234,23,8,0,0,1189.9264497355
5.398681640625,0.47806180016305,0.177978515625,75719,3.0001094196625,977.08791780127,30,8,0,0,996.14403157811
5.57666015625,0.48481667147043,0.177978515625,77031,3.0001109657299,785.50149011794,32,8,0,0,782.65956635484
5.754638671875,0.50336342833444,0.177978515625,77587,3.0001152107456,611.68505196007,37,8,0,0,580.54826660771
5.9326171875,0.50870112183242,0.177978515625,78829,3.0001164324467,475.39125800202,34,8,0,0,434.58900935296
6.0327301025391,0.51020203346384,0.10011291503906,87091,3.0001167759781,410.55319021048,44,9,0,0,372.42930007007
6.1078147888184,0.50993210819875,0.075084686279297,88521,3.0001167141971,375.09609138631,60,12,0,0,338.10426231828
6.1500499248505,0.51094683384922,0.042235136032104,89235,3.0001169464494,356.73611986935,58,12,0,0,318.61274777029
