time,ElementInt_c,_dt,dofs,eta_precip_area,linear_its,nonlinear_its,precipitate_area,total_F
0,0,0,0,0,0,0,0,0
0.2373046875,-6.2188419081011e-08,0.2373046875,40507,12565.43393056,43,9,0,12646.214913642
0.415283203125,-7.6295490369915e-08,0.177978515625,43279,12296.073691964,39,8,0,12335.010901842
0.59326171875,-8.1369740501103e-08,0.177978515625,46069,11977.214708423,34,7,0,12021.632143243
0.771240234375,-8.4501178054808e-08,0.177978515625,53398,11596.181182463,40,7,0,11679.86520706
0.94921875,-8.5669253024889e-08,0.177978515625,64774,11125.48738585,40,7,0,11255.208039751
1.127197265625,-8.4048573878448e-08,0.177978515625,66253,10545.075793005,42,8,0,10674.363838969
1.30517578125,0.0065954667344696,0.177978515625,67486,9886.3834978257,35,8,0,9954.0565490917
1.483154296875,0.25915334682501,0.177978515625,65014,9225.5672097341,32,8,0,9250.7185973274
1.6611328125,0.39970642863259,0.177978515625,63334,8616.0764160048,26,8,0,8647.7492438682
1.839111328125,0.55220180595154,0.177978515625,56299,8062.6225038721,24,8,0,8112.660120177
2.01708984375,0.50991511588324,0.177978515625,57136,7547.7929637074,24,8,0,7607.3948729198
2.195068359375,0.4565442871294,0.177978515625,53878,7053.8366739729,24,8,0,7114.1112639828
2.373046875,0.32170131072863,0.177978515625,46558,6571.5529803142,24,8,0,6628.8217894737
2.551025390625,0.3248697176757,0.177978515625,47356,6098.733809666,23,8,0,6153.2939275443
2.72900390625,0.31737988561373,0.177978515625,47695,5636.4728424467,24,8,0,5684.7177175917
2.906982421875,0.32902827191506,0.177978515625,48382,5189.9728152751,24,8,0,5228.7498912359
3.0849609375,0.36326866384065,0.177978515625,47119,4766.2170765715,23,8,0,4798.9162760366
3.262939453125,0.47661082803914,0.177978515625,41686,4369.1573581887,24,8,0,4400.5139389387
3.44091796875,0.51710729121603,0.177978515625,42343,3996.9883520733,24,8,0,4030.0031958799
3.618896484375,0.49584351945687,0.177978515625,41353,3643.876356761,24,8,0,3678.1931201389
3.796875,0.45779188923574,0.177978515625,40774,3303.9311260218,24,8,0,3339.2419718975
3.974853515625,0.45274049732247,0.177978515625,41095,2972.6906794426,24,8,0,3008.1961408842
4.15283203125,0.44830931631562,0.177978515625,40834,2648.7556078059,24,8,0,2679.1203213548
4.330810546875,0.44901704758182,0.177978515625,40051,2336.6211852504,24,8,0,2354.3352502536
4.5087890625,0.43685092772787,0.177978515625,38878,2046.6404380839,24,8,0,2051.0909464801
4.686767578125,0.42586507682459,0.177978515625,39451,1788.257181252,23,8,0,1788.3710794716
4.86474609375,0.48290697380396,0.177978515625,36997,1562.1990359258,23,8,0,1567.2256901864
5.042724609375,0.47422572622105,0.177978515625,37045,1360.0597545134,24,8,0,1373.5539635551
5.220703125,0.47403529337282,0.177978515625,37129,1168.7613144841,23,8,0,1189.925852466
5.398681640625,0.47806181477432,0.177978515625,38161,977.0898273275,30,8,0,996.14304790552
5.57666015625,0.48481671695687,0.177978515625,38809,785.50680127355,32,8,0,782.6589178567
