time,ElementInt_c,_dt,dofs,eta_precip_area,linear_its,nonlinear_its,precipitate_area,total_F
0,0,0,0,0,0,0,0,0
0.13348388671875,-3.873192111481e-08,0.13348388671875,40507,12764.25602949,23,5,0,12841.716848428
0.2669677734375,-5.703339195362e-08,0.13348388671875,48295,12649.879006498,29,6,0,12643.523097628
0.40045166015625,-6.2992720262223e-08,0.13348388671875,51787,12520.264102588,34,6,0,12467.967907174
0.533935546875,-6.521989559527e-08,0.13348388671875,55303,12383.432965079,34,6,0,12300.139495783
0.66741943359375,-6.7098469169746e-08,0.13348388671875,60643,12244.638242913,34,6,0,12139.159521556
0.8009033203125,-6.8495658145373e-08,0.13348388671875,66211,12106.291609963,34,6,0,11983.152593783
0.93438720703125,-6.8243409589996e-08,0.13348388671875,71065,11969.122550515,34,6,0,11831.543903362
1.06787109375,-6.8686711152122e-08,0.13348388671875,74779,11833.082252282,34,6,0,11685.072424245
1.2013549804688,-6.8172159917168e-08,0.13348388671875,76708,11697.796224182,34,6,0,11540.373569444
1.3348388671875,-6.7030944794766e-08,0.13348388671875,78784,11562.73812912,34,6,0,11398.944544371
1.4683227539062,-6.5662078441164e-08,0.13348388671875,80797,11427.28773839,34,6,0,11260.239993042
1.601806640625,-6.42525845862e-08,0.13348388671875,83485,11290.711468472,35,6,0,11121.782022459
1.7352905273438,-6.4256668874663e-08,0.13348388671875,85057,11152.129180817,36,6,0,10982.954495665
1.8687744140625,-6.4764033691489e-08,0.13348388671875,87808,11010.451424701,38,6,0,10844.509461786
2.0022583007812,-6.5585626041198e-08,0.13348388671875,89560,10864.303091197,38,6,0,10705.582044428
2.1357421875,-6.6811779220188e-08,0.13348388671875,92197,10711.932229504,38,6,0,10563.502565242
2.2692260742188,-6.8396192709486e-08,0.13348388671875,94957,10551.060620785,37,6,0,10416.623473056
2.4027099609375,-7.0489637238325e-08,0.13348388671875,97702,10378.775106861,38,6,0,10262.061364465
2.5361938476562,-7.1037602467072e-08,0.13348388671875,100264,10191.444489587,36,6,0,10095.815409123
2.669677734375,0.00063534171565793,0.13348388671875,104233,9984.8874157932,36,6,0,9912.1762103431
2.8031616210938,0.00061955443118755,0.13348388671875,106723,9755.0916075453,37,6,0,9705.8577531565
2.9366455078125,0.00083606253249058,0.13348388671875,111145,9499.5336153177,38,6,0,9469.8293846883
3.0701293945312,0.0008283699237488,0.13348388671875,113425,9218.5662147832,43,7,0,9200.7665516338
3.20361328125,0.0011982390993541,0.13348388671875,119203,8916.3076998894,43,7,0,8895.9664573512
3.3370971679688,0.0018054764841402,0.13348388671875,126481,8602.287264628,43,7,0,8559.281503575
3.4705810546875,0.0041545566740144,0.13348388671875,131455,8293.4073293387,43,7,0,8204.0736418871
3.6040649414062,0.0068421536011085,0.13348388671875,135127,8011.7744295413,43,7,0,7853.1193494695
3.7041778564453,0.011769192859645,0.10011291503906,141121,7830.8630623083,60,10,0,7596.2698673011
3.7792625427246,0.015369841701643,0.075084686279297,144769,7718.6285896411,82,14,0,7401.3363253259
3.8214976787567,0.414944134333,0.042235136032104,125938,7660.2065818031,68,14,0,7274.7882026025
3.8452549427748,0.54937657917574,0.023757264018059,98008,7631.2374208526,68,14,0,7194.7751635599
3.8586184037849,2.8529308460407,0.013363461010158,77320,7617.3360254751,47,12,0,7143.0809540247
3.8661353506031,2.96921457904,0.0075169468182139,66151,7611.4429006439,39,10,0,7108.2503551571
3.8717730607168,12.563863931636,0.0056377101136604,57001,7609.8282150557,47,12,0,7076.4513035409
3.8760013433021,8.9686836543635,0.0042282825852453,41869,7611.9319103769,59,15,0,7039.8248460249
3.8783797522563,6.5959583987461,0.0023784089542005,32275,7613.1430865164,51,13,0,6987.6558734353
3.879717607293,3.5136832578738,0.0013378550367378,24406,7621.7881007123,43,11,0,6912.7519594762
3.8807209985705,2.9171193174245,0.0010033912775533,20599,7621.2088192819,59,15,0,6710.5738863651
3.8812854061642,28.529334532736,0.00056440759362375,18484,7628.8163696635,63,13,0.1875,6310.084070773
3.8816028854356,61.093459729925,0.00031747927141336,17410,7586.281079278,39,10,0.5,5503.4991556912
3.8818409948891,70.814807295617,0.00023810945356002,17194,7581.8836636331,63,13,1,3308.9300867377
3.8819749314568,70.826025516342,0.00013393656762751,17170,7582.0666518057,53,11,1.375,-1757.8340121805
3.8820502707761,70.636716328873,7.5339319290475e-05,17134,7582.331335744,43,9,1.5625,-11663.779655649
3.8821067752655,70.79252505261,5.6504489467856e-05,17107,7582.6155868505,48,10,1.6875,-37132.675453786
3.8821385590409,70.929202731091,3.1783775325669e-05,17092,7582.9466212753,38,8,2,-86652.681071524
3.8821623968723,70.678463757642,2.3837831494252e-05,17062,7583.7420645519,43,9,2.25,-205773.21907393
3.882180275246,70.714351046389,1.7878373620689e-05,17047,7584.8208541088,53,11,2.625,-582870.55458529
3.8821903318311,71.538024530451,1.0056585161637e-05,17032,7584.0766767913,48,10,3.3125,-1550288.5032886
3.8821959886603,71.542193734771,5.6568291534211e-06,17032,7585.6744890107,38,8,3.4375,-3599793.3298346
3.8822002312821,71.543131805709,4.2426218650658e-06,17032,7588.0120714647,48,10,4.25,-9547567.1636517
3.8822026177569,71.543342871648,2.3864747990995e-06,17032,7590.7013016915,43,9,4.75,-23176138.984362
3.882204407613,71.543390361439,1.7898560993246e-06,17032,7595.0335558468,58,12,6.875,-70323298.3423
3.8822054144071,71.543401046592,1.0067940558701e-06,17032,7600.9343929695,58,12,9.4999999999999,-219947039.78294
3.8822059807288,71.543403450697,5.6632165642694e-07,17032,7608.7583734764,58,12,9.9999999999999,-685910872.96854
3.8822062992847,71.543403991402,3.1855593174015e-07,17032,7618.984129196,53,11,12.75,-2105052226.6678
3.8822064784724,71.543404112927,1.7918771160384e-07,17032,7632.0337130461,53,11,14.0625,-6239778470.4713
3.8822065792655,71.543404140052,1.0079308777716e-07,17032,7647.9481662464,48,10,14.1875,-17292326791.494
3.8822066359616,71.543404145967,5.6696111874651e-08,17032,7665.9243793177,43,9,18.25,-42787738846.02
3.8822066784837,71.543404146969,4.2522083905988e-08,17032,7695.6833192494,68,14,24.25,-136191378133.13
3.8822066964227,71.543404146841,1.7939004147839e-08,17032,7722.312530404,53,11,26.75,-306640849843.1
3.8822067065134,71.543404145343,1.0090689833159e-08,17032,7745.9359494527,53,11,26.75,-560883106549.72
3.8822067140814,71.543404144538,7.5680173748695e-09,17032,7771.4223891686,68,14,26.75,-985072125842.34
3.8822067183384,71.543404137765,4.2570097733641e-09,17032,7792.6469056014,63,13,26.75,-1492110361613.6
3.8822067215312,71.543404135991,3.1927573300231e-09,17032,7812.5731749907,73,15,26.75,-2126244902307.3
3.8822067233271,71.543404135409,1.795925998138e-09,17032,7827.2793369599,63,13,26.75,-2710162867926.6
3.882206724674,71.543404112172,1.3469444986035e-09,17032,7839.4286867513,53,11,27.75,-3277043589558.5
3.8822067256842,71.543404092024,1.0102083739526e-09,17032,7849.5945795376,48,10,27.75,-3816076538618.2
3.8822067264419,71.54340408733,7.5765628046446e-10,17032,7857.9877883273,48,10,28.75,-4309086930029.3
3.8822067270101,71.543404061543,5.6824221034835e-10,17032,7864.7972133675,38,8,28.75,-4742963340922.5
3.8822067275784,71.543404050256,5.6824221034835e-10,17032,7872.1211328318,43,9,28.75,-5245357828062.7
3.8822067280046,71.543404046533,4.2618165776126e-10,17032,7877.9917321878,38,8,28.75,-5676056984293.2
3.8822067284307,71.543404044806,4.2618165776126e-10,17032,7884.2256700921,43,9,28.75,-6161901221361.1
3.8822067287504,71.543404044283,3.1963624332094e-10,17032,7889.1616860314,38,8,28.75,-6568201258833.9
3.88220672907,71.543404043662,3.1963624332094e-10,17032,7894.3427257853,38,8,28.75,-7015952381487.2
3.8822067293897,71.543404043377,3.1963624332094e-10,17032,7899.7909326802,43,9,28.75,-7511094977989
3.8822067296294,71.543404042987,2.3972718249071e-10,17032,7904.0653353461,33,7,28.75,-7917551714249.6
3.8822067298691,71.54340404277,2.3972718249071e-10,17032,7908.513763668,38,8,28.75,-8357852156538.8
3.8822067301088,71.543404042471,2.3972718249071e-10,17032,7913.1489757366,38,8,28.75,-8835922911011
3.8822067303486,71.543404006247,2.3972718249071e-10,17032,7917.9846378709,38,8,29,-9356234372788.5
3.8822067305883,71.543403993961,2.3972718249071e-10,17032,7923.0357142714,43,9,29,-9923924138535.3
3.8822067307681,71.543403991162,1.7979538686803e-10,17032,7926.9742195817,38,8,29,-10384197126328
3.8822067309479,71.543403990152,1.7979538686803e-10,17032,7931.0500827397,38,8,29,-10877196460454
3.8822067311277,71.543403989677,1.7979538686803e-10,17032,7935.2718807537,38,8,29,-11406149087841
3.8822067313075,71.543403989482,1.7979538686803e-10,17032,7939.6486751586,43,9,29,-11974655977645
3.8822067314423,71.543403989384,1.3484654015102e-10,17032,7943.0382247588,33,7,29,-12429328700627
3.8822067315772,71.543403937406,1.3484654015102e-10,17032,7946.5244775024,33,7,29,-12910359232075
3.882206731712,71.543403920057,1.3484654015102e-10,17032,7950.1123553767,38,8,29,-13419857573213
3.8822067318469,71.543403914233,1.3484654015102e-10,17032,7953.806973899,38,8,29.25,-13960126774679
3.8822067319817,71.543403912228,1.3484654015102e-10,17032,7957.6137622915,38,8,29.25,-14533700029307
3.8822067321165,71.543403911539,1.3484654015102e-10,17032,7961.5385266514,43,9,29.25,-15143374162147
3.8822067322177,71.543403911365,1.0113490511327e-10,17032,7964.5628640823,33,7,29.25,-15626108307554
3.8822067323188,71.543403880356,1.0113490511327e-10,17032,7967.6596108398,33,7,29.25,-16132269106276
3.88220673242,71.543403870013,1.0113490511327e-10,17032,7970.8318492372,38,8,29.25,-16663421255452
3.8822067325211,71.543403866553,1.0113490511327e-10,17032,7974.0827467439,38,8,29.25,-17221245869893
3.8822067326222,71.543403865381,1.0113490511327e-10,17032,7977.415626479,38,8,29.5,-17807562291444
3.8822067327234,71.543403853918,1.0113490511327e-10,17032,7980.8340004266,38,8,29.5,-18424345809607
3.8822067328245,71.543403850088,1.0113490511327e-10,17032,7984.3415912799,43,9,29.5,-19073745317533
3.8822067329003,71.543403849219,7.5851178834951e-11,17032,7987.0329566257,33,7,29.75,-19583553093857
3.8822067329762,71.543403834471,7.5851178834951e-11,17032,7989.778331436,33,7,29.75,-20114054326150
3.882206733052,71.543403784215,7.5851178834951e-11,17032,7992.5796380846,33,7,29.75,-20666402013001
3.8822067331279,71.54340376746,7.5851178834951e-11,17032,7995.4388327984,38,8,29.75,-21241818505397
3.8822067332038,71.543403761868,7.5851178834951e-11,17032,7998.3579480018,38,8,29.75,-21841608749561
3.8822067332796,71.543403759996,7.5851178834951e-11,17032,8001.3391105237,38,8,29.75,-22467169917091
3.8822067333555,71.543403752012,7.5851178834951e-11,17032,8004.3845521329,38,8,29.75,-23120000291452
3.8822067334313,71.543403702059,7.5851178834951e-11,17032,8007.4966178969,38,8,29.75,-23801708495902
3.8822067335072,71.543403685402,7.5851178834951e-11,17032,8010.6777742317,43,9,29.75,-24514023546737
3.882206733564,71.543403677258,5.6888384126213e-11,17032,8013.1103786196,33,7,29.75,-25069422537649
3.8822067336209,71.543403652028,5.6888384126213e-11,17032,8015.5843524835,33,7,29.75,-25643894516057
3.8822067336778,71.543403601871,5.6888384126213e-11,17032,8018.1009413448,33,7,29.75,-26238336729842
3.8822067337347,71.543403523254,5.6888384126213e-11,17032,8020.6614028722,33,7,29.75,-26853690384797
3.8822067337916,71.543403497045,5.6888384126213e-11,17032,8023.2670337524,38,8,29.75,-27490949632845
3.8822067338485,71.543403488304,5.6888384126213e-11,17032,8025.9191804674,38,8,29.75,-28151167327289
3.8822067339054,71.543403485385,5.6888384126213e-11,17032,8028.6192448918,38,8,29.75,-28835459992639
3.8822067339623,71.54340346205,5.6888384126213e-11,17032,8031.3686882892,38,8,29.75,-29545012744370
3.8822067340192,71.543403406858,5.6888384126213e-11,17032,8034.1690349336,38,8,29.75,-30281084498885
3.882206734076,71.543403388458,5.6888384126213e-11,17032,8037.0218757662,43,9,29.75,-31045013602635
3.8822067341187,71.543403378541,4.266628809466e-11,17032,8039.1968502975,33,7,29.75,-31637066947944
3.8822067341614,71.543403358615,4.266628809466e-11,17032,8041.4029529927,33,7,29.75,-32246205645451
3.882206734204,71.543403323708,4.266628809466e-11,17032,8043.640971297,33,7,29.75,-32873103902845
3.8822067342467,71.543403271801,4.266628809466e-11,17032,8045.9116949252,33,7,29.75,-33518462418344
3.8822067342894,71.543403201707,4.266628809466e-11,17032,8048.215932637,33,7,29.75,-34183014404091
3.882206734332,71.543403178273,4.266628809466e-11,17032,8050.5545186318,37,8,29.75,-34867529042549
3.8822067343747,71.54340317037,4.266628809466e-11,17032,8052.9283155206,37,8,29.75,-35572814161793
3.8822067344174,71.543403167483,4.266628809466e-11,17032,8055.3382162446,38,8,29.75,-36299718783606
3.88220673446,71.543403151824,4.266628809466e-11,17032,8057.7851456742,38,8,29.75,-37049135730422
3.8822067345027,71.543403116848,4.266628809466e-11,17032,8060.2700621658,38,8,29.75,-37822004388255
3.8822067345454,71.543403059792,4.266628809466e-11,17032,8062.7939591601,38,8,29.75,-38619313658255
3.882206734588,71.543402978982,4.266628809466e-11,17032,8065.3578668594,38,8,29.75,-39442105124463
3.8822067346307,71.543402951897,4.266628809466e-11,17032,8067.9628540044,42,9,29.75,-40291476470035
3.8822067346627,71.543402928447,3.1999716070995e-11,17032,8069.9441504426,33,7,29.75,-40946619321353
3.8822067346947,71.543402897203,3.1999716070995e-11,17032,8071.9496204365,33,7,29.75,-41617860638926
3.8822067347267,71.543402855888,3.1999716070995e-11,17032,8073.979784654,33,7,29.75,-42305740602772
3.8822067347587,71.543402803605,3.1999716070995e-11,17032,8076.035162477,33,7,29.75,-43010816548462
3.8822067347907,71.543402739811,3.1999716070995e-11,17032,8078.1162830316,33,7,29.75,-43733667432137
3.8822067348227,71.543402718513,3.1999716070995e-11,17032,8080.223689243,37,8,29.75,-44474896139325
3.8822067348547,71.543402711372,3.1999716070995e-11,17032,8082.3579395693,37,8,29.75,-45235131120695
3.8822067348867,71.543402704485,3.1999716070995e-11,17032,8084.5196090177,38,8,29.75,-46015027849973
3.8822067349187,71.543402688804,3.1999716070995e-11,17032,8086.7092899225,38,8,29.75,-46815270280579
3.8822067349507,71.543402661026,3.1999716070995e-11,17032,8088.9275926692,38,8,29.75,-47636572359938
3.8822067349827,71.5434026197,3.1999716070995e-11,17032,8091.1751464234,38,8,29.75,-48479679627900
3.8822067350147,71.543402564088,3.1999716070995e-11,17032,8093.4525998856,38,8,29.75,-49345370911277
3.8822067350467,71.543402493468,3.1999716070995e-11,17032,8095.7606220798,38,8,29.75,-50234460123969
3.8822067350787,71.543402469907,3.1999716070995e-11,17032,8098.0999031868,42,9,29.75,-51147798183680
3.8822067351027,71.543402449661,2.3999787053246e-11,17032,8099.8752617429,33,7,29.75,-51849231589409
3.8822067351267,71.543402424418,2.3999787053246e-11,17032,8101.6688870664,33,7,29.75,-52565184739500
3.8822067351507,71.543402393023,2.3999787053246e-11,17032,8103.4811105811,33,7,29.75,-53296067551614
3.8822067351747,71.543402354899,2.3999787053246e-11,17032,8105.3122612946,33,7,29.75,-54042300186865
3.8822067351987,71.543402309807,2.3999787053246e-11,17032,8107.1626728037,33,7,29.75,-54804316240394
3.8822067352227,71.543402257462,2.3999787053246e-11,17032,8109.0326857945,33,7,29.75,-55582564239289
3.8822067352467,71.543402240027,2.3999787053246e-11,17032,8110.9226490571,37,8,29.75,-56377508590005
3.8822067352707,71.543402234229,2.3999787053246e-11,17032,8112.8329199913,37,8,29.75,-57189630379661
3.8822067352947,71.543402227947,2.3999787053246e-11,17032,8114.7638649843,38,8,29.75,-58019428129539
3.8822067353187,71.543402216122,2.3999787053246e-11,17032,8116.7158597323,38,8,30.75,-58867418571760
3.8822067353427,71.543402196869,2.3999787053246e-11,17032,8118.6892895565,38,8,30.75,-59734137458332
3.8822067353667,71.543402169409,2.3999787053246e-11,17032,8120.6845497255,38,8,30.75,-60620140408841
3.8822067353907,71.543402133405,2.3999787053246e-11,17032,8122.7020457889,38,8,30.75,-61526003802155
3.8822067354147,71.543402088471,2.3999787053246e-11,17032,8124.742193924,38,8,30.75,-62452325714038
3.8822067354387,71.543402034256,2.3999787053246e-11,17032,8126.8054212966,38,8,30.75,-63399726904963
3.8822067354627,71.543401970645,2.3999787053246e-11,17032,8128.8921664374,38,8,30.75,-64368851860607
3.8822067354867,71.543401946299,2.3999787053246e-11,17032,8131.0028796396,43,9,30.75,-65360369884675
3.8822067355047,71.543401926543,1.7999840289935e-11,17032,8132.6018931174,33,7,30.75,-66119107669611
3.8822067355227,71.543401903759,1.7999840289935e-11,17032,8134.2148319434,33,7,30.75,-66891127341057
3.8822067355407,71.54340187711,1.7999840289935e-11,17032,8135.8419097716,33,7,30.75,-67676745672539
3.8822067355587,71.543401846213,1.7999840289935e-11,17032,8137.4833378502,33,7,30.75,-68476285592340
3.8822067355767,71.543401811016,1.7999840289935e-11,17032,8139.1393295401,33,7,30.75,-69290078550232
3.8822067355947,71.543401771353,1.7999840289935e-11,17032,8140.8101018945,33,7,30.75,-70118465543194
3.8822067356127,71.543401727162,1.7999840289935e-11,17032,8142.4958762658,33,7,30.75,-70961797701387
3.8822067356307,71.543401678375,1.7999840289935e-11,17032,8144.1968785895,33,7,31.75,-71820436737135
3.8822067356487,71.5434016599,1.7999840289935e-11,17032,8145.9133395716,38,8,31.75,-72694755351653
3.8822067356667,71.54340164826,1.7999840289935e-11,17032,8147.6454948222,38,8,31.75,-73585137666128
3.8822067356847,71.543401635541,1.7999840289935e-11,17032,8149.3935850098,38,8,31.75,-74491979632283
3.8822067357027,71.54340161906,1.7999840289935e-11,17032,8151.157856002,38,8,31.75,-75415689476202
3.8822067357207,71.543401597841,1.7999840289935e-11,17032,8152.9385590108,38,8,31.75,-76356688158579
3.8822067357387,71.543401571387,1.7999840289935e-11,17032,8154.7359507431,38,8,31.75,-77315409854802
3.8822067357567,71.543401539593,1.7999840289935e-11,17032,8156.5502935562,38,8,31.75,-78292302456000
3.8822067357747,71.543401502424,1.7999840289935e-11,17032,8158.3818556186,38,8,31.75,-79287828092401
3.8822067357927,71.543401459388,1.7999840289935e-11,17032,8160.2309110765,38,8,35.75,-80302463680086
3.8822067358107,71.543401410532,1.7999840289935e-11,17032,8162.0977402267,38,8,35.75,-81336701492167
3.8822067358287,71.543401391156,1.7999840289935e-11,17032,8163.9826297,43,9,35.75,-82391049750029
3.8822067358422,71.543401376252,1.3499880217451e-11,17032,8165.4083071511,33,7,35.75,-83195313393544
3.8822067358557,71.543401359545,1.3499880217451e-11,17032,8166.8444242128,33,7,36.75,-84011405779161
3.8822067358692,71.543401340528,1.3499880217451e-11,17032,8168.2911154569,33,7,36.75,-84839563723750
3.8822067358827,71.543401318999,1.3499880217451e-11,17032,8169.7485134732,33,7,36.75,-85680027496769
3.8822067358962,71.543401294831,1.3499880217451e-11,17032,8171.2167517206,33,7,36.75,-86533042540029
3.8822067359097,71.543401268018,1.3499880217451e-11,17032,8172.6959655104,33,7,36.75,-87398860164363
